Sample_ID	Concentration	Ratio_260_280	Ratio_260_230	Day	Sample_Well_ID	Sample_Plate_ID	Molecule	Host	Experiment_name	Treatment_name	Treatment_ID	Leaf_replicate	Psyllid_replicate	qPCR_Well_ID	qPCR_plate_ID
T1_T0	53.6	2.07	2.31	0	A1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	1	NA	A1	1
T1_T0	53.6	2.07	2.31	0	A1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	1	NA	A2	1
S7_T0	39.2	2.05	2.28	0	B1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	7	NA	C1	1
S7_T0	39.2	2.05	2.28	0	B1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	7	NA	C2	1
T1_T7	59.1	2.01	2.14	7	C1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	1	NA	E1	1
T1_T7	59.1	2.01	2.14	7	C1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	1	NA	E2	1
P9_T7	24.9	2.05	2.23	7	D1	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	9	NA	G1	1
P9_T7	24.9	2.05	2.23	7	D1	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	9	NA	G2	1
S2_T0	106.7	2.06	2.35	0	E1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	2	NA	I1	1
S2_T0	106.7	2.06	2.35	0	E1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	2	NA	I2	1
P7_T7	48.1	2.07	2.24	7	F1	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	7	NA	K1	1
P7_T7	48.1	2.07	2.24	7	F1	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	7	NA	K2	1
Q2_T7	30.8	2.02	2.37	7	G1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	2	NA	M1	1
Q2_T7	30.8	2.02	2.37	7	G1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	2	NA	M2	1
R2_T0	30.9	2.1	2.23	0	H1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	2	NA	O1	1
R2_T0	30.9	2.1	2.23	0	H1	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	2	NA	O2	1
R9_T0	32.6	2.02	2.18	0	A2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	9	NA	B1	1
R9_T0	32.6	2.02	2.18	0	A2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	9	NA	B2	1
Q8_T7	28.7	2.05	2.49	7	B2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	8	NA	D1	1
Q8_T7	28.7	2.05	2.49	7	B2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	8	NA	D2	1
U1_T0	69.4	2.04	2.27	0	C2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	1	NA	F1	1
U1_T0	69.4	2.04	2.27	0	C2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	1	NA	F2	1
W3_T7	40.9	2.06	2.35	7	D2	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	3	NA	H1	1
W3_T7	40.9	2.06	2.35	7	D2	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	3	NA	H2	1
P1_T7	58.4	2.04	2.16	7	E2	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	1	NA	J1	1
P1_T7	58.4	2.04	2.16	7	E2	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	1	NA	J2	1
U1_T7	4	2.13	3.2	7	F2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	1	NA	L1	1
U1_T7	4	2.13	3.2	7	F2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	1	NA	L2	1
T10_T0	34.8	2.04	2.4	0	G2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	10	NA	N1	1
T10_T0	34.8	2.04	2.4	0	G2	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	10	NA	N2	1
W6_T0	30.7	2.05	2.21	0	H2	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	6	NA	P1	1
W6_T0	30.7	2.05	2.21	0	H2	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	6	NA	P2	1
Q6_T7	25.1	2.03	2.15	7	A3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	6	NA	A3	1
Q6_T7	25.1	2.03	2.15	7	A3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	6	NA	A4	1
S8_T0	26.8	2	1.74	0	B3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	8	NA	C3	1
S8_T0	26.8	2	1.74	0	B3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	8	NA	C4	1
Q5_T7	50.8	2.05	2.34	7	C3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	5	NA	E3	1
Q5_T7	50.8	2.05	2.34	7	C3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	5	NA	E4	1
R5_T0	44.7	2.04	2.14	0	D3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	5	NA	G3	1
R5_T0	44.7	2.04	2.14	0	D3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	5	NA	G4	1
S10_T7	40.5	2.03	2.17	7	E3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	10	NA	I3	1
S10_T7	40.5	2.03	2.17	7	E3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	10	NA	I4	1
Q8_T0	21	2.05	2.27	0	F3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	8	NA	K3	1
Q8_T0	21	2.05	2.27	0	F3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	8	NA	K4	1
