Standard,Cq_value,Cq_mean,,,,,,,
Std1,10.691,10.786,,,,,,,
Std2,13.864,13.864,,,,,DNA copies/mL,Log DNA copies/mL,Ct values
Std3,17.146,16.991,,,,,10,1,34.936
Std4,20.314,20.212,,,,,100,2,31.441
Std5,23.460,23.588,,,,,1000,3,27.330
Std6,27.121,27.330,,,,,10000,4,23.588
Std7,31.623,31.441,,,,,100000,5,20.212
Std8,34.729,34.936,,,,,1000000,6,16.991
,,,,,,,10000000,7,13.864
,,,,,,,100000000,8,10.786
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,PCR Efficiency,1.942379143,,,,,,
,,% PCR efficiency,94.23791434,,,,,,
