Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
BM7_only	G10	None	Blank	0.167	20200903	0
BM7_only	G11	None	Blank	0.175	20200903	0
803529	B2	1_mg_ml	Treatment	0.196	20200903	0
803529	B3	1_mg_ml	Treatment	0.183	20200903	0
803529	B6	0.1_mg_ml	Treatment	0.185	20200903	0
803529	B7	0.1_mg_ml	Treatment	0.182	20200903	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.204	20200903	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.195	20200903	0
803531	C2	1_mg_ml	Treatment	0.22	20200903	0
803531	C3	1_mg_ml	Treatment	0.227	20200903	0
803531	C6	0.1_mg_ml	Treatment	0.195	20200903	0
803531	C7	0.1_mg_ml	Treatment	0.196	20200903	0
L_cre_BM7	D10	None	Negative_Control	0.21	20200903	0
L_cre_BM7	D11	None	Negative_Control	0.19	20200903	0
L_cre_BM7	E10	None	Negative_Control	0.206	20200903	0
L_cre_BM7	E11	None	Negative_Control	0.189	20200903	0
L_cre_BM7	F10	None	Negative_Control	0.205	20200903	0
L_cre_BM7	F11	None	Negative_Control	0.18	20200903	0
803537	F2	1_mg_ml	Treatment	0.188	20200903	0
803537	F3	1_mg_ml	Treatment	0.199	20200903	0
803537	F6	0.1_mg_ml	Treatment	0.189	20200903	0
803537	F7	0.1_mg_ml	Treatment	0.194	20200903	0
803536	E2	1_mg_ml	Treatment	0.193	20200903	0
803536	E3	1_mg_ml	Treatment	0.205	20200903	0
803536	E6	0.1_mg_ml	Treatment	0.185	20200903	0
803536	E7	0.1_mg_ml	Treatment	0.192	20200903	0
803534	D2	1_mg_ml	Treatment	0.429	20200903	0
803534	D3	1_mg_ml	Treatment	0.458	20200903	0
803534	D6	0.1_mg_ml	Treatment	0.19	20200903	0
803534	D7	0.1_mg_ml	Treatment	0.199	20200903	0
803568	G4	1_mg_ml	Treatment	0.186	20200903	0
803568	G5	1_mg_ml	Treatment	0.187	20200903	0
803568	G8	0.1_mg_ml	Treatment	0.197	20200903	0
803568	G9	0.1_mg_ml	Treatment	0.195	20200903	0
803566	E4	1_mg_ml	Treatment	0.33	20200903	0
803566	E5	1_mg_ml	Treatment	0.357	20200903	0
803566	E8	0.1_mg_ml	Treatment	0.216	20200903	0
803566	E9	0.1_mg_ml	Treatment	0.213	20200903	0
PMB	B10	0.5_mg_ml	Positive_Control	0.184	20200903	0
PMB	B11	0.5_mg_ml	Positive_Control	0.185	20200903	0
803546	C4	1_mg_ml	Treatment	0.298	20200903	0
803546	C5	1_mg_ml	Treatment	0.304	20200903	0
803546	C8	0.1_mg_ml	Treatment	0.208	20200903	0
803546	C9	0.1_mg_ml	Treatment	0.209	20200903	0
803550	D4	1_mg_ml	Treatment	0.202	20200903	0
803550	D5	1_mg_ml	Treatment	0.197	20200903	0
803550	D8	0.1_mg_ml	Treatment	0.189	20200903	0
803550	D9	0.1_mg_ml	Treatment	0.207	20200903	0
803543	B4	1_mg_ml	Treatment	0.252	20200903	0
803543	B5	1_mg_ml	Treatment	0.23	20200903	0
803543	B8	0.1_mg_ml	Treatment	0.196	20200903	0
803543	B9	0.1_mg_ml	Treatment	0.193	20200903	0
803540	G2	1_mg_ml	Treatment	0.42	20200903	0
