Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
BM7_only	G10	None	Blank	0.172	20201106	0
BM7_only	G11	None	Blank	0.184	20201106	0
PMB	B10	0.5_mg_ml	Positive_Control	0.201	20201106	0
PMB	B11	0.5_mg_ml	Positive_Control	0.204	20201106	0
L_cre_BM7	D10	None	Negative_Control	0.205	20201106	0
L_cre_BM7	D11	None	Negative_Control	0.212	20201106	0
L_cre_BM7	E10	None	Negative_Control	0.201	20201106	0
L_cre_BM7	E11	None	Negative_Control	0.201	20201106	0
L_cre_BM7	F10	None	Negative_Control	0.195	20201106	0
L_cre_BM7	F11	None	Negative_Control	0.201	20201106	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.206	20201106	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.205	20201106	0
Combo120	G4	1_mg_ml	Treatment	0.26	20201106	0
Combo120	G5	1_mg_ml	Treatment	0.255	20201106	0
Combo120	G8	0.1_mg_ml	Treatment	0.198	20201106	0
Combo120	G9	0.1_mg_ml	Treatment	0.212	20201106	0
Combo114	G2	1_mg_ml	Treatment	0.298	20201106	0
Combo114	G3	1_mg_ml	Treatment	0.278	20201106	0
Combo114	G6	0.1_mg_ml	Treatment	0.194	20201106	0
Combo114	G7	0.1_mg_ml	Treatment	0.214	20201106	0
Combo115	B4	1_mg_ml	Treatment	0.228	20201106	0
Combo115	B5	1_mg_ml	Treatment	0.24	20201106	0
Combo115	B8	0.1_mg_ml	Treatment	0.204	20201106	0
Combo115	B9	0.1_mg_ml	Treatment	0.221	20201106	0
Combo116	C4	1_mg_ml	Treatment	0.252	20201106	0
Combo116	C5	1_mg_ml	Treatment	0.264	20201106	0
Combo116	C8	0.1_mg_ml	Treatment	0.2	20201106	0
Combo116	C9	0.1_mg_ml	Treatment	0.213	20201106	0
Combo117	D4	1_mg_ml	Treatment	0.231	20201106	0
Combo117	D5	1_mg_ml	Treatment	0.262	20201106	0
Combo117	D8	0.1_mg_ml	Treatment	0.185	20201106	0
Combo117	D9	0.1_mg_ml	Treatment	0.205	20201106	0
Combo110	C2	1_mg_ml	Treatment	0.275	20201106	0
Combo110	C3	1_mg_ml	Treatment	0.241	20201106	0
Combo110	C6	0.1_mg_ml	Treatment	0.193	20201106	0
Combo110	C7	0.1_mg_ml	Treatment	0.202	20201106	0
Combo111	D2	1_mg_ml	Treatment	0.252	20201106	0
Combo111	D3	1_mg_ml	Treatment	0.236	20201106	0
Combo111	D6	0.1_mg_ml	Treatment	0.19	20201106	0
Combo111	D7	0.1_mg_ml	Treatment	0.185	20201106	0
Combo112	E2	1_mg_ml	Treatment	0.257	20201106	0
Combo112	E3	1_mg_ml	Treatment	0.254	20201106	0
Combo112	E6	0.1_mg_ml	Treatment	0.187	20201106	0
Combo112	E7	0.1_mg_ml	Treatment	0.19	20201106	0
Combo113	F2	1_mg_ml	Treatment	0.297	20201106	0
Combo113	F3	1_mg_ml	Treatment	0.279	20201106	0
Combo113	F6	0.1_mg_ml	Treatment	0.197	20201106	0
Combo113	F7	0.1_mg_ml	Treatment	0.204	20201106	0
Combo118	E4	1_mg_ml	Treatment	0.263	20201106	0
Combo118	E5	1_mg_ml	Treatment	0.25	20201106	0
Combo118	E8	0.1_mg_ml	Treatment	0.197	20201106	0
Combo118	E9	0.1_mg_ml	Treatment	0.202	20201106	0
Combo119	F4	1_mg_ml	Treatment	0.236	20201106	0
Combo119	F5	1_mg_ml	Treatment	0.261	20201106	0
Combo119	F8	0.1_mg_ml	Treatment	0.191	20201106	0
Combo119	F9	0.1_mg_ml	Treatment	0.215	20201106	0
Combo109	B2	1_mg_ml	Treatment	0.266	20201106	0
Combo109	B3	1_mg_ml	Treatment	0.254	20201106	0
Combo109	B6	0.1_mg_ml	Treatment	0.227	20201106	0
Combo109	B7	0.1_mg_ml	Treatment	0.222	20201106	0
BM7_only	G10	None	Blank	0.175	20201108	1
BM7_only	G11	None	Blank	0.186	20201108	1
PMB	B10	0.5_mg_ml	Positive_Control	0.205	20201108	1
PMB	B11	0.5_mg_ml	Positive_Control	0.204	20201108	1
L_cre_BM7	D10	None	Negative_Control	0.273	20201108	1
L_cre_BM7	D11	None	Negative_Control	0.272	20201108	1
L_cre_BM7	E10	None	Negative_Control	0.267	20201108	1
L_cre_BM7	E11	None	Negative_Control	0.271	20201108	1
L_cre_BM7	F10	None	Negative_Control	0.264	20201108	1
L_cre_BM7	F11	None	Negative_Control	0.275	20201108	1
Y4761	C10	0.005_mg_ml	Positive_Control	0.225	20201108	1
Y4761	C11	0.005_mg_ml	Positive_Control	0.222	20201108	1
Combo120	G4	1_mg_ml	Treatment	0.33	20201108	1
Combo120	G5	1_mg_ml	Treatment	0.321	20201108	1
Combo120	G8	0.1_mg_ml	Treatment	0.279	20201108	1
Combo120	G9	0.1_mg_ml	Treatment	0.286	20201108	1
Combo114	G2	1_mg_ml	Treatment	0.31	20201108	1
Combo114	G3	1_mg_ml	Treatment	0.352	20201108	1
Combo114	G6	0.1_mg_ml	Treatment	0.271	20201108	1
Combo114	G7	0.1_mg_ml	Treatment	0.282	20201108	1
Combo115	B4	1_mg_ml	Treatment	0.301	20201108	1
Combo115	B5	1_mg_ml	Treatment	0.31	20201108	1
Combo115	B8	0.1_mg_ml	Treatment	0.284	20201108	1
Combo115	B9	0.1_mg_ml	Treatment	0.282	20201108	1
Combo116	C4	1_mg_ml	Treatment	0.328	20201108	1
Combo116	C5	1_mg_ml	Treatment	0.323	20201108	1
Combo116	C8	0.1_mg_ml	Treatment	0.276	20201108	1
Combo116	C9	0.1_mg_ml	Treatment	0.276	20201108	1
Combo117	D4	1_mg_ml	Treatment	0.311	20201108	1
Combo117	D5	1_mg_ml	Treatment	0.322	20201108	1
Combo117	D8	0.1_mg_ml	Treatment	0.263	20201108	1
Combo117	D9	0.1_mg_ml	Treatment	0.275	20201108	1
Combo110	C2	1_mg_ml	Treatment	0.344	20201108	1
Combo110	C3	1_mg_ml	Treatment	0.337	20201108	1
Combo110	C6	0.1_mg_ml	Treatment	0.273	20201108	1
Combo110	C7	0.1_mg_ml	Treatment	0.271	20201108	1
Combo111	D2	1_mg_ml	Treatment	0.316	20201108	1
Combo111	D3	1_mg_ml	Treatment	0.323	20201108	1
Combo111	D6	0.1_mg_ml	Treatment	0.258	20201108	1
Combo111	D7	0.1_mg_ml	Treatment	0.255	20201108	1
Combo112	E2	1_mg_ml	Treatment	0.349	20201108	1
Combo112	E3	1_mg_ml	Treatment	0.338	20201108	1
Combo112	E6	0.1_mg_ml	Treatment	0.265	20201108	1
Combo112	E7	0.1_mg_ml	Treatment	0.26	20201108	1
Combo113	F2	1_mg_ml	Treatment	0.335	20201108	1
Combo113	F3	1_mg_ml	Treatment	0.34	20201108	1
Combo113	F6	0.1_mg_ml	Treatment	0.271	20201108	1
Combo113	F7	0.1_mg_ml	Treatment	0.277	20201108	1
Combo118	E4	1_mg_ml	Treatment	0.331	20201108	1
Combo118	E5	1_mg_ml	Treatment	0.319	20201108	1
Combo118	E8	0.1_mg_ml	Treatment	0.273	20201108	1
Combo118	E9	0.1_mg_ml	Treatment	0.273	20201108	1
Combo119	F4	1_mg_ml	Treatment	0.324	20201108	1
Combo119	F5	1_mg_ml	Treatment	0.339	20201108	1
Combo119	F8	0.1_mg_ml	Treatment	0.271	20201108	1
Combo119	F9	0.1_mg_ml	Treatment	0.287	20201108	1
Combo109	B2	1_mg_ml	Treatment	0.34	20201108	1
Combo109	B3	1_mg_ml	Treatment	0.341	20201108	1
Combo109	B6	0.1_mg_ml	Treatment	0.294	20201108	1
Combo109	B7	0.1_mg_ml	Treatment	0.28	20201108	1
BM7_only	G10	None	Blank	0.176	20201109	2
BM7_only	G11	None	Blank	0.186	20201109	2
PMB	B10	0.5_mg_ml	Positive_Control	0.202	20201109	2
PMB	B11	0.5_mg_ml	Positive_Control	0.204	20201109	2
L_cre_BM7	D10	None	Negative_Control	0.521	20201109	2
L_cre_BM7	D11	None	Negative_Control	0.367	20201109	2
L_cre_BM7	E10	None	Negative_Control	0.554	20201109	2
L_cre_BM7	E11	None	Negative_Control	0.447	20201109	2
L_cre_BM7	F10	None	Negative_Control	0.521	20201109	2
L_cre_BM7	F11	None	Negative_Control	0.424	20201109	2
Y4761	C10	0.005_mg_ml	Positive_Control	0.331	20201109	2
Y4761	C11	0.005_mg_ml	Positive_Control	0.23	20201109	2
Combo120	G4	1_mg_ml	Treatment	0.51	20201109	2
Combo120	G5	1_mg_ml	Treatment	0.462	20201109	2
Combo120	G8	0.1_mg_ml	Treatment	0.385	20201109	2
Combo120	G9	0.1_mg_ml	Treatment	0.383	20201109	2
Combo114	G2	1_mg_ml	Treatment	0.369	20201109	2
Combo114	G3	1_mg_ml	Treatment	0.561	20201109	2
Combo114	G6	0.1_mg_ml	Treatment	0.395	20201109	2
Combo114	G7	0.1_mg_ml	Treatment	0.419	20201109	2
Combo115	B4	1_mg_ml	Treatment	0.512	20201109	2
Combo115	B5	1_mg_ml	Treatment	0.483	20201109	2
Combo115	B8	0.1_mg_ml	Treatment	0.381	20201109	2
Combo115	B9	0.1_mg_ml	Treatment	0.41	20201109	2
Combo116	C4	1_mg_ml	Treatment	0.583	20201109	2
Combo116	C5	1_mg_ml	Treatment	0.494	20201109	2
Combo116	C8	0.1_mg_ml	Treatment	0.492	20201109	2
Combo116	C9	0.1_mg_ml	Treatment	0.403	20201109	2
Combo117	D4	1_mg_ml	Treatment	0.481	20201109	2
Combo117	D5	1_mg_ml	Treatment	0.463	20201109	2
Combo117	D8	0.1_mg_ml	Treatment	0.442	20201109	2
Combo117	D9	0.1_mg_ml	Treatment	0.383	20201109	2
Combo110	C2	1_mg_ml	Treatment	0.464	20201109	2
Combo110	C3	1_mg_ml	Treatment	0.477	20201109	2
Combo110	C6	0.1_mg_ml	Treatment	0.385	20201109	2
Combo110	C7	0.1_mg_ml	Treatment	0.382	20201109	2
Combo111	D2	1_mg_ml	Treatment	0.475	20201109	2
Combo111	D3	1_mg_ml	Treatment	0.465	20201109	2
Combo111	D6	0.1_mg_ml	Treatment	0.38	20201109	2
Combo111	D7	0.1_mg_ml	Treatment	0.378	20201109	2
Combo112	E2	1_mg_ml	Treatment	0.506	20201109	2
Combo112	E3	1_mg_ml	Treatment	0.47	20201109	2
Combo112	E6	0.1_mg_ml	Treatment	0.393	20201109	2
Combo112	E7	0.1_mg_ml	Treatment	0.368	20201109	2
Combo113	F2	1_mg_ml	Treatment	0.532	20201109	2
Combo113	F3	1_mg_ml	Treatment	0.606	20201109	2
Combo113	F6	0.1_mg_ml	Treatment	0.397	20201109	2
Combo113	F7	0.1_mg_ml	Treatment	0.391	20201109	2
Combo118	E4	1_mg_ml	Treatment	0.552	20201109	2
Combo118	E5	1_mg_ml	Treatment	0.458	20201109	2
Combo118	E8	0.1_mg_ml	Treatment	0.458	20201109	2
Combo118	E9	0.1_mg_ml	Treatment	0.387	20201109	2
Combo119	F4	1_mg_ml	Treatment	0.526	20201109	2
Combo119	F5	1_mg_ml	Treatment	0.485	20201109	2
Combo119	F8	0.1_mg_ml	Treatment	0.438	20201109	2
Combo119	F9	0.1_mg_ml	Treatment	0.402	20201109	2
Combo109	B2	1_mg_ml	Treatment	0.363	20201109	2
Combo109	B3	1_mg_ml	Treatment	0.451	20201109	2
Combo109	B6	0.1_mg_ml	Treatment	0.39	20201109	2
Combo109	B7	0.1_mg_ml	Treatment	0.381	20201109	2
BM7_only	G10	None	Blank	0.176	20201109	3
BM7_only	G11	None	Blank	0.186	20201109	3
PMB	B10	0.5_mg_ml	Positive_Control	0.213	20201109	3
PMB	B11	0.5_mg_ml	Positive_Control	0.204	20201109	3
L_cre_BM7	D10	None	Negative_Control	0.727	20201109	3
L_cre_BM7	D11	None	Negative_Control	0.503	20201109	3
L_cre_BM7	E10	None	Negative_Control	0.78	20201109	3
L_cre_BM7	E11	None	Negative_Control	0.618	20201109	3
L_cre_BM7	F10	None	Negative_Control	0.723	20201109	3
L_cre_BM7	F11	None	Negative_Control	0.63	20201109	3
Y4761	C10	0.005_mg_ml	Positive_Control	0.353	20201109	3
Y4761	C11	0.005_mg_ml	Positive_Control	0.233	20201109	3
Combo120	G4	1_mg_ml	Treatment	0.649	20201109	3
Combo120	G5	1_mg_ml	Treatment	0.609	20201109	3
Combo120	G8	0.1_mg_ml	Treatment	0.503	20201109	3
Combo120	G9	0.1_mg_ml	Treatment	0.534	20201109	3
Combo114	G2	1_mg_ml	Treatment	0.437	20201109	3
Combo114	G3	1_mg_ml	Treatment	0.691	20201109	3
Combo114	G6	0.1_mg_ml	Treatment	0.526	20201109	3
Combo114	G7	0.1_mg_ml	Treatment	0.538	20201109	3
